code,title,quantity,cost,type,period
86,"Железнодорожные локомотивы или моторные вагоны трамвая, подвижной состав и их части; путевое оборудование и устройства для железных дорог или трамвайных путей и их части; механическое (включая электромеханическое) сигнальное оборудование всех видов",41210.36,120618.4,I,2015-10
87,"Средства наземного транспорта, кроме железнодорожного или трамвайного подвижного состава, и их части и принадлежности",117372.38,1249470.1,I,2015-10
89,"Суда, лодки и плавучие конструкции",187.52,1421.3,I,2015-10
90,"Инструменты и аппараты оптические, фотографические, кинематографические, измерительные, контрольные, прецизионные, медицинские или хирургические; их части и принадлежности",4272.19,405688.8,I,2015-10
91,Часы всех видов и их части,187.7,9692.6,I,2015-10
92,Инструменты музыкальные; их части и принадлежности,85.97,2109.4,I,2015-10
94,"Мебель; постельные принадлежности, матрацы, основы матрацные, диванные подушки и аналогичные набивные принадлежности мебели; лампы и осветительное оборудование, в другом месте не поименованные или не включенные; световые вывески, световые таблички с имене",39201.22,175836.6,I,2015-10
95,"Игрушки, игры и спортивный инвентарь; их части и принадлежности",8783.14,63458.3,I,2015-10
96,Разные готовые изделия,16661.35,106499.2,I,2015-10
97,"Произведения искусства, предметы коллекционирования и антиквариат",2.44,1223,I,2015-10
